file_name,title,url,title_clean
AC_25.pdf,1868/1869 Catalogue (25th Annual),http://archives.nd.edu/bulletin/AC_25.pdf,1868-1869-Catalogue-25th-Annual
AC_26.pdf,1869/1870 Catalogue (26th Annual),http://archives.nd.edu/bulletin/AC_26.pdf,1869-1870-Catalogue-26th-Annual
AC_27.pdf,1870/1871 Catalogue (27th Annual),http://archives.nd.edu/bulletin/AC_27.pdf,1870-1871-Catalogue-27th-Annual
AC_28.pdf,1871/1872 Catalogue (28th Annual),http://archives.nd.edu/bulletin/AC_28.pdf,1871-1872-Catalogue-28th-Annual
AC_29.pdf,1872/1873 Catalogue (29th Annual),http://archives.nd.edu/bulletin/AC_29.pdf,1872-1873-Catalogue-29th-Annual
AC_30.pdf,1873/1874 Catalogue (30th Annual),http://archives.nd.edu/bulletin/AC_30.pdf,1873-1874-Catalogue-30th-Annual
AC_31.pdf,1874/1875 Catalogue (31st Annual),http://archives.nd.edu/bulletin/AC_31.pdf,1874-1875-Catalogue-31st-Annual
AC_32.pdf,1875/1876 Catalogue (32nd Annual),http://archives.nd.edu/bulletin/AC_32.pdf,1875-1876-Catalogue-32nd-Annual
AC_33.pdf,1876/1877 Catalogue (33rd Annual),http://archives.nd.edu/bulletin/AC_33.pdf,1876-1877-Catalogue-33rd-Annual
AC_34.pdf,1877/1878 Catalogue (34th Annual),http://archives.nd.edu/bulletin/AC_34.pdf,1877-1878-Catalogue-34th-Annual
AC_35.pdf,1878/1879 Catalogue (35th Annual),http://archives.nd.edu/bulletin/AC_35.pdf,1878-1879-Catalogue-35th-Annual
AC_36.pdf,1879/1880 Catalogue (36th Annual),http://archives.nd.edu/bulletin/AC_36.pdf,1879-1880-Catalogue-36th-Annual
AC_37.pdf,1880/1881 Catalogue (37th Annual),http://archives.nd.edu/bulletin/AC_37.pdf,1880-1881-Catalogue-37th-Annual
AC_38.pdf,1881/1882 Catalogue (38th Annual),http://archives.nd.edu/bulletin/AC_38.pdf,1881-1882-Catalogue-38th-Annual
AC_39.pdf,1882/1883 Catalogue (39th Annual),http://archives.nd.edu/bulletin/AC_39.pdf,1882-1883-Catalogue-39th-Annual
AC_40.pdf,1883/1884 Catalogue (40th Annual),http://archives.nd.edu/bulletin/AC_40.pdf,1883-1884-Catalogue-40th-Annual
AC_41.pdf,1884/1885 Catalogue (41st Annual),http://archives.nd.edu/bulletin/AC_41.pdf,1884-1885-Catalogue-41st-Annual
AC_42.pdf,1885/1886 Catalogue (42nd Annual),http://archives.nd.edu/bulletin/AC_42.pdf,1885-1886-Catalogue-42nd-Annual
AC_43.pdf,1886/1887 Catalogue (43rd Annual),http://archives.nd.edu/bulletin/AC_43.pdf,1886-1887-Catalogue-43rd-Annual
AC_44.pdf,1887/1888 Catalogue (44th Annual),http://archives.nd.edu/bulletin/AC_44.pdf,1887-1888-Catalogue-44th-Annual
AC_45.pdf,1888/1889 Catalogue (45th Annual),http://archives.nd.edu/bulletin/AC_45.pdf,1888-1889-Catalogue-45th-Annual
AC_46.pdf,1889/1890 Catalogue (46th Annual),http://archives.nd.edu/bulletin/AC_46.pdf,1889-1890-Catalogue-46th-Annual
AC_47.pdf,1890/1891 Catalogue (47th Annual),http://archives.nd.edu/bulletin/AC_47.pdf,1890-1891-Catalogue-47th-Annual
AC_48.pdf,1891/1892 Catalogue (48th Annual),http://archives.nd.edu/bulletin/AC_48.pdf,1891-1892-Catalogue-48th-Annual
AC_49.pdf,1892/1893 Catalogue (49th Annual),http://archives.nd.edu/bulletin/AC_49.pdf,1892-1893-Catalogue-49th-Annual
AC_50.pdf,1893/1894 Catalogue (50th Annual),http://archives.nd.edu/bulletin/AC_50.pdf,1893-1894-Catalogue-50th-Annual
AC_51.pdf,1894/1895 Catalogue (51st Annual),http://archives.nd.edu/bulletin/AC_51.pdf,1894-1895-Catalogue-51st-Annual
AC_52.pdf,1895/1896 Catalogue (52nd Annual),http://archives.nd.edu/bulletin/AC_52.pdf,1895-1896-Catalogue-52nd-Annual
AC_53.pdf,1896/1897 Catalogue (53rd Annual),http://archives.nd.edu/bulletin/AC_53.pdf,1896-1897-Catalogue-53rd-Annual
AC_54.pdf,1897/1898 Catalogue,http://archives.nd.edu/bulletin/AC_54.pdf,1897-1898-Catalogue
